[欧美私人订制] 最懂你的欧美推荐 每日更新35首,欧美,介绍：收藏专属于你的欧美日推每天和喜欢的欧美音乐不期而遇,172万,118600800,35,15913
日久不生情 （沈巍×井然）,欧美-流行,介绍：巍然是真的,188,3925,23,23
2020新车载低音炮♚,驾车-电子-欧美,介绍：疫情快要结束了！！！中国加油！！！开车也得戴口罩！命最重要！！！祝大家新年快乐！2020年安安康康！能买到一辆豪车！安全第一 听歌第二 开车时请不要切歌！评论一下 意见谢谢大家,9537,705350,135,71
【情人节】TrapNation告白电音特辑,欧美-电子-浪漫,介绍：又到了一年一度的情人节，每到这个节日，总会让人想到甜蜜，幸福，喜悦，当然，也别忘了还有表达这些甜蜜与幸福的美好音乐，本次TrapNation通过精挑细选，为大家献上一场情人节重磅之宴，众多制作人及歌手们的真心之作，打造全新MIX特辑，这既是一场听觉盛宴，也是一次爱的感受跟体验,148,2535,30,4
Astralwerks 26周年 ｜金曲收录,榜单-欧美-电子,介绍：庆祝Astralwerks成立26周年歌单。包括Swedish House Mafia、Porter Robinson、Halsey、EDEN等许多炙手可热歌曲风格：Progressive House，Alternative Rock，Alternative Pop，Elector House，Synth Pop，Techno and more,2536,37529,62,7
Synth Pop丨复古青年浪漫合成器,欧美-电子-流行,介绍：//复古青年最爱合成器流行//一些鼓点节奏，一剂电子迷幻，一点浪漫因子，再加上复古声响，于是便产生了这具有复古浪漫色彩的合成器流行乐。风格相关：复古流行/合成器音乐/80s/snyth pop/Electronic/synthwave风格介绍:（合成器流行）诞生于80s早期，吸收了早期电子音乐的革新，合成流行乐的第一步变化是朝舞曲风格发展，虽然在80s中后期走向衰弱，但在21世纪以来又诞生了新的生命力。,16545,664736,46,86
【心动模式】耳机分你一半，开启心动模式,欧美-流行,介绍：2020-”,1631,3526,1000,2
土嗨神曲「先蛇为敬」俄语、 DJ炸音,摇滚-夜晚-欧美,介绍：你在 无中生有 暗度陈仓［歌单禁搬运］欢迎踩评论—喜欢就关注我吧嘻嘻嘻防丢失有缘就更新哈哈哈,104,6332,67,12
超级治愈英文|纯音乐,欧美-轻音乐-治愈,介绍：我往宇宙撒了把盐 如果三点前还睡不着 今晚就边循环治愈歌单边吃盐焗小星球。,348,3833,150,41
欧美精选|迷幻慵懒 飘渺轻灵,欧美-流行-电子,介绍：此歌单适合抄写作业时使用，感受轻灵跳跃的节奏，品味精致女嗓音。每一首都超好听，均可单曲循环。,61329,2527628,57,253
人间理想「耀仔」,华语-日语-欧美,介绍：我只希望有人能不分青红皂白的站在我身边,3863,200993,484,13
国服玄策『狂暴模式』战歌,游戏-欧美-电子,介绍：这个歌单可以让玄策变厉害。建议用LIVE音效我怕你听了燃过头了音乐国服百里玄策可杰,3835,147645,21,55
【幻】Life is very psychedelic,欧美-流行-R&B/Soul,介绍：Don't dream too far too good to do the future will not live up to you,1578,57400,160,评论
轻快音乐 一键开启今日份满满活力,欧美-流行-清晨,介绍：希望此刻的你们吃肉不长肉吃辣不长痘元气膨胀 天天向上,43204,2235956,52,279
开眼100首金曲,欧美-摇滚-流行,介绍：开眼推荐近10年来100英文歌,707,14035,100,74
Awakening丨Ekali 唤醒你的曼妙旋律,欧美-流行-电子,介绍：包含我和我欣赏的艺人们的作品，这些歌曲唤醒我的头脑并激发出音乐灵感。希望大家喜欢。,1789,22430,235,8
50 Feet（更新要看和下首歌的缘分！）,流行-欧美,介绍：明明你也还爱我凭什么我们要错过,1835,57631,37,54
班迪与墨水机器官方曲+同人曲,欧美-游戏,无,55,2611,29,1
精致的猪猪女孩化妆歌单,欧美-流行-放松,介绍：精致的猪猪需要介绍吗？,41780,1760834,209,177
欧美///我愿在梦中轻轻唱给你,欧美-下午茶-清晨,介绍：封面：holly6v@ins 乌克兰模特……………………正文…………………………和煦朦胧的阳光洒落你的脸庞耳旁是你轻柔的声音闭上双眼 在一笼惬爽凉意中沉下音乐 予你好眠与阳光下的舒适而在这音乐中 我想要将胸中言语倾诉……………………附言…………………………选曲标准：①声音较为舒缓 适宜下午茶和小憩时光②副歌不明显 起伏较小,25536,1156637,55,112
追逐梦想的时候 全宇宙都会来帮忙,欧美-流行-电子,介绍：如果天空是黑暗的，那就摸黑生存；如果发出声音是危险的，那就保持沉默；如果自觉无力发光的，那就蜷伏于墙角。但不要习惯了黑暗就为黑暗辩护；不要为自己的苟且而得意；不要嘲讽那些比自己更勇敢热情的人们。可以卑微如尘土，不可扭曲如蛆虫。你高考用不着让全世界都知道，你努力也不是为了别人。我希望你们能得到自己应得的成绩，我也希望所有励志歌曲励志的是生活，而不只是高考。,15996,729706,44,338
漫威·踩点向·视频剪辑·BGM,欧美-运动,介绍：踩点视频剪辑可用。在别人的故事里，到最后都会有一个超级英雄来终结一切拯救世界，而我们的世界里，只有自己能拯救自己。ps:歌单封面大图在动态里。感谢喜欢这个歌单的你，希望各位生活幸福，工作顺利。,8575,396760,122,98
适合画画肝作业时听的歌,日语-华语-欧美,介绍：感谢收听p站 ID：65974897画师：DAL 人物：知世,74万,34320720,470,3535
月光·晚风·花瓣·夜空·私藏宝藏 与耳朵,欧美-清新-放松,介绍：伴着甜甜的晚风 祝你一夜好眠愿有那样一个夜晚爬上屋顶看星星月亮愿有那样一个人让你在熙春的晚风中温柔的想念晚风不解意何故撩人心歌单为近期单主私藏宝藏歌曲，部分歌曲来自好友私信 在此感谢各位厚爱~,45281,1750155,58,287
挑动律动神经的Dubstep音乐集,欧美-电子,介绍：Dubstep优质精选曲目,3225,433447,101,20
好听到单曲循环的英文歌曲,欧美-流行-榜单,介绍：采满这世间的温柔 与明月同赠与你,4973,274892,109,142
迷 人 嗓 音,流行-华语-欧美,介绍：随性一点 做自己便好 歌曲没必要太多 能够让你的心里宁静就好 随机穿插说唱和纯音乐 建议耳机食用本歌单欢迎收听主页其他歌单,48381,4179563,138,131
『欧美』歌海中的珍珠，不被发现的魅力,欧美-流行-爵士,介绍：欧美音乐种类丰富，好听的歌曲更是数不胜数，而它们往往藏在歌海的深处，等待着你去挖掘发现！✨✨✨本歌单每周末及时更新欧美正红及冷门好歌，只为拯救歌荒的你~创建时间：2019年7月18日,9460,390926,162,107
那些好听到单曲循环的歌「武汉加油」,华语-欧美-学习,介绍：我们DNA里的氮元素，我们牙齿里的钙元素，我们血液里的铁元素，还有我们吃掉的东西里的碳元素，都是曾经大爆炸时的万千星辰散落后组成的，所以我们每个人都是星辰。——卡尔萨根所以我们都要加油鸭♡○投稿私信 by：阳光下的灿烂却远不及你封面：iu 李知恩,27465,1746286,460,284
【暗黑向】欧美踩点混剪BGM,欧美-运动-兴奋,介绍：——迷人的欧美踩点混剪BGM系列之暗黑向。——同系列还有【高燃向】【cp向】【女性】以及精选合集等，欢迎自选收藏。（小小声：微博id同名，分享好听的歌和音乐小知识，可以来和我玩嘛？）,43万,16262160,49,1108
周周直播间整合歌单,欧美,介绍：这些歌都是来自周奕宏直播间,1604,48139,422,21
化妆拍照BGM.,欧美-韩语-流行,介绍：谁还不是小仙女了化妆也要有上T台感,78万,34234032,275,2209
抖音最火歌曲 ღ,华语-欧美-电子,介绍：希望大家多支持，抖音最火歌曲，大家收藏一下，谢谢大家。,439,31418,312,16
Slushii：我的清凉电子乐,欧美-电子,介绍：so here is a playlist I made with some other songs I like too这个歌单是一些我喜欢的歌曲合集，希望你也喜欢！,835,23619,42,27
钢琴丨Taylor Swift,欧美-钢琴-流行,介绍：内含一些冷门宝藏单曲钢琴版好听的音乐让更多人知道 欢迎大家投稿补充桃乐丝女士伴奏版歌曲！·2019年lover唯一一张实销破100万的专辑·2019年共发布24首歌其中发布4支正式mv，参演1部电影·2019年共获得48项提名22个奖项· 2019年出席46次表演&节目其中Me是常表演曲目·2019年关于中国粉丝广州粉丝见面会 双十一晚会 专辑中国独占版等,3245,33783,116,23
你是临近赤道的欢喜.,欧美-治愈-清新,介绍：临近赤道的欢喜：热烈而永恒，温柔而肆意,3344,106267,72,65
宇宙星河浪漫，生活点滴温暖,欧美-散步-放松,介绍：《萨冈写给萨特的情书》“这个世界疯狂，没人性，腐败。您却一直清醒，温柔，一尘不染。”也有人说：温柔是一种特别的内在力量，能驱散不安的情绪，能复苏枯萎的爱。那当然，感受到温柔，自己也会想变得温柔。封面:最爱的brown和Lucy2020.3.6,32709,1211871,55,271
minecraft MV音乐全集,欧美-电子-网络歌曲,介绍：看简介再听，Ok？在此推荐电台Minecraft-MV 2013-2019年度精选歌曲主播：Let_life_boil俺要上热门！！！.ヽ(^Д^*)/. .ヽ(^Д^*)/.音乐简介1.终末之诗 mc官方音乐2～5失落的王国系列 （2沦陷的王国 3重返黑夜 4找回碎片 5龙之心）6～11破碎 （6斗争 7重新开始 8我们都是危险 9拯救之翼 10凋零的心 11终界希望）12～14烦人的村民 （12艾利克斯的一生 13史蒂夫的一生 14 42集bgm）15怪物学院 凋灵骷髅开挂音乐16方块世界 17建起一片新天地（16，17都是植物大战僵尸作者女友劳拉唱的）18摧毁下界（模仿魔力红）19回到我身边20晚上别挖矿21附魔22我要做一些蛋糕23TNT24Minecraft风格25不可思议的怪物们来临26我的与我27复仇（一个小白与苦力怕的故事）28我们一起更强大29我的世界30为我的生命而战31我的世界真是太棒了32奔向永远！！！！33我的嘶嘶声，宝贝34困在我的世界里35振作起来36采矿37你会找到它38我相信39矿工40Herobrine41黄金,89,3501,41,1
500首好听的英文歌,欧美-流行-电子,介绍：真的真的真的真的真的好听请戴耳机随机随机随机随机播放不仅限于原唱版本，好听的翻唱，混音版也收录入,18289,956401,500,153
快手抖音歌曲大全。,欧美-流行-电子,介绍：看到了就是缘分！快手抖音上面好听的歌这里基本都有，中间末尾的更赞都是回忆！快收藏吧,3888,451192,421,7
新古典丨悲怆人间，幸而这月光柔软,古典-轻音乐-欧美,介绍：爱你所爱的事物爱你所爱的人深情 炙热能毫无保留最好这世间只有对爱是公平的你爱什么这世界就给你什么你爱多少这世界就给你多少甚至更多比如我此刻还能活在这纷乱的人世你可以说这只是一次非典型的大难不死只有我知道正是我此前给出的每一滴水如今都汇成了江 河 湖 海深情可以续命至少是深情续了我的命,39074,1433090,78,175
营业悖论丨20200325,欧美-流行,介绍：稚楚《营业悖论》中所提及歌曲。☆请注意不要到歌曲的评论区提及本文呀。听觉SZD！！！！！！！！！！！听觉成真了！！！！！！！！！！！！,191,3245,11,37
引诱你坠入深渊的妖精-『病娇色気向BGM』,性感-韩语-欧美,介绍：来吧，宝贝儿我要做到你CAN'T Get Out of bed.❌,16981,614542,37,313
星河滚烫，你是人间理想,欧美-流行,介绍：曾在哪里看到过这样一句话：“星河滚烫，你是人间理想.”感觉这句甜甜的、暖暖的那么，本歌单就收录了一些甜甜的歌曲希望大家享受音乐～（本歌单建议列表循环）创建日期：2019.10.9,41629,1647250,51,351
steph姐姐的神仙BGM♡,欧美-流行-治愈,介绍：歌单会随着姐姐的视频更新！一般都是在星期日更新♡记得都来哦还有要都爱steph哦,2643,107409,120,52
滑稽调皮向丨给生活加点开心添加剂,欧美-放松-流行,介绍：生活有什么不开心的呢来听一下这个歌单吧。,1148,18050,31,1
NBA2k20(iOS版)背景音乐合辑,欧美-运动-游戏,无,1153,61864,19,20
《NBA2K20》手机版歌单,欧美-说唱-游戏,介绍：NBA2K系列游戏的最新力作《NBA2K20》将提供迄今为止曲目最丰富的游戏配乐，来自Drake、 Meek Mill、 Billie Eilish、PostMalone和 Nipsey Hussle等知名艺人的歌曲。所有歌曲都由2K挑选，并经由传奇音乐企业家和生意人 Steve Stoute开创的UnitedMasters(独立艺人的业界新选择)来验证。在游戏推出后的一整年里，将会持续增加额外歌曲，类型横跨嘻哈、R&B、电子乐、流行乐和摇滚乐《NBA2K20》手机版本针对电脑版删去了一些音乐，给你更加原汁原味的游戏体验（歌单持续更新中……）,193,7802,19,6
回首亘年漫月里的所有怦然心动你仍拨得头筹,翻唱-流行-欧美,介绍：好好学习Nothing on earth can prevent me from loving her.在这个世界上没有什么能阻挡我爱上她——高三一轮复习周测试卷（八）一起来感受英语的魅力～,979,41939,185,31
Huya丶豚豚大魔王,欧美-日语-00后,介绍：生活需要长远的清醒和奔腾的脚步小假期的短暂放松过后希望自己依旧初心不改,97,3690,72,1
抖音歌曲大全2020,华语-欧美-电子,介绍：这里收录的都是抖音视频常用的BGM，大部分你想找的歌曲都能在这里听到，歌单里面也都是我边听歌边收集的，希望多支持,1378,60172,199,9
R.I.P.☹“27岁俱乐部”☹,欧美-说唱-治愈,介绍：17 lilpeep 18 xxxtentacion 19 Juice Wrld天妒英才R.I.P.,3124,67383,31,55
Future Bass｜迷失在电子滤波的温柔陷阱,电子-兴奋-欧美,介绍：Future Bass：诞生于2006年，发源地在英国、美国、日本、澳大利亚的电子音乐流派。特别值得一提的是Future Bass是Bass Music衍生流派，来自日本的Kawaii Bass同是Future Bass的一种，深受二次元宅文化爱好者的追捧，对日本流行音乐影响很大，另外在以Future Bass的基础上加入各种各样的元素和融合其他风格的结构，便可融汇变形成一个新风格，可玩性可谓是高。简而言之，所有加入Future Bass特征的Bass music都可以称之为Future Bass，那下面介绍一下Future Bass的特征。Future Bass特征：Future bass被描述为专注于detuned synthesizers （降调合成器）的hard bassline，主要包括sawtooth waves和square waves（波形）。 声波经常调制成自动化或者low-frequency oscillation（低频率分布波动）来控制audio filter（音频滤波器）的cutoff（通常为一个low pass或者high pass滤波器）来使波形声音变得更响或者更安静。此外，它通常使用可以形容为“一闪一闪”的方式来展现逐渐上升的音高，手法包括用琶音和弦和声码器，另外，有一种说法是Future Bass约等于Chill Trap，这种说法放在以前的确有道理，但在如今Future Bass风格鲜明的情况下，各位听众也要注意分辨这两种风格的不同。封面女模特：Dasha Taran，来自俄罗斯的女模特，深邃的双眼和完美的脸型让人一眼便觉得陷入了她五官的温柔乡，精致的脸庞搭配Future Bass，视觉听觉双冲击，好好享受Future Bass吧～,1290,80936,111,11
“贫穷”Coldplay粉集合地,欧美-摇滚-英伦,介绍：-希望云村Coldplay粉们都能听到自己喜欢的作品！-基本上是按慢歌（早期风格为主）→快歌顺序排列-有一些歌曲各个版本都需要VIP的就没加进来歌单，如果发现免费遗珠可以告诉我哦！---更新----3/15更换了一批VIP歌曲为免费版本，割舍部分没有免费版本的歌曲-3/20加入了“2000 Miles"（歌手页没有的歌哦）,1002,6718,89,54
[欧美私人订制] 最懂你的欧美推荐 每日更新35首,欧美,介绍：收藏专属于你的欧美日推每天和喜欢的欧美音乐不期而遇,172万,118603512,35,15913
【HIPHOP说唱】必 听 的 经 典 钻 石 单 曲,欧美-说唱-R&B/Soul,介绍：定期更新，从1990-2020精挑细选所有rappers的冠军单曲/钻石销量单曲如果你真的喜欢HIPHOP，你需要听过这些歌，了解他们背后的故事,1216,6886,109,301
大锤宝藏歌单,夜晚-治愈-欧美,介绍：浪漫世界，值得孤身我们本来就是宇宙，哪里需要什么星辰感谢抖音来的小伙伴 每日更新,5724,115549,136,30
迷幻&神级RAP¥[NEW W¥BE]¥EMO鼓点,说唱-运动-欧美,介绍：新潮流音乐(流行于20世纪70年代的一种摇滚乐)有内味的歌单$持续更新 欢迎投稿,1150,84229,77,12
你搜不到的土嗨神曲,华语-欧美-电子,介绍：【不喜勿喷，自用歌单+易友推荐】这歌单容易嗨上头，如果你开车/走路请注意安全！现在很多年轻人为了耍酷，过马路也要戴着耳机，殊不知这样做非常危险，万一被车撞到，耳机不就坏了吗？？能搜到这歌单，全靠缘分，不定期在线更新。如果你有喜欢的歌也可以私信推荐，安排上！,67万,28736736,145,1798
2020精选抖音热门短视频/电影剪辑BGM,欧美-流行-治愈,介绍：歌曲均为精选，根据抖音热点不定时更新，仔细听总会有适合你的。（有部分音乐已经下架了，但是我已经存档，需要的私聊。）,178,4068,31,评论
压箱私藏 | 那些躲在角落里的小众音乐,欧美-流行-华语,介绍：这些压箱私藏的欧美、华语音乐，就像躲在角落里的花一样，等待你的发现！希望大家能够喜欢这些小众的欧美、华语音乐,23万,9711387,45,570
抖音 2020最火歌曲盘点 实时更新,欧美-流行-网络歌曲,无,567,39209,1690,2
嘻哈星节奏《Rhythm+Flow》 AKA美国有嘻哈,欧美-说唱,介绍：《嘻哈星节奏》寻找下一个嘻哈说唱巨星Netflix的新嘻哈选秀综艺《Rhythm + Flow》豪华阵容Cardi B、Chance the Rapper、T.I.任评委称是全美“第一档正式的嘻哈真人竞赛节目”2019年度总冠军 D Smoke 烟弟！,3475,42485,163,12
超级安利的午后必听英文歌曲,欧美-下午茶-清新,介绍：每一首歌都是我用心挑选的真的是爱了 不定期更新鸭最近添添删删 如果不小心删了你们喜欢的歌我在这给大家道歉了 对不起！还有 ～ 还有哇 ～谢谢收藏的宝贝们 我爱你们鸭(⁎⁍̴̛ᴗ⁍̴̛⁎),33517,1387004,166,181
最全守望先锋联赛战队主题曲（持续更新,欧美-游戏,介绍：守望先锋联赛各战队主题曲全收录！！持续更新中~欢迎补充和指正与BiLiBiLi——StereM3，瓜子酱_共同协作洛杉矶角斗士队：Gladiator杭州闪电队：Bow Downwow 旧金山震动队Started From the Bottom 多伦多捍卫者队DNA 亚特兰大君临队Hunters 成都猎人队All Roads Lead Home 亚特兰大君临队Fury 伦敦无人机队（滑稽Out'Ere 伦敦无人机队（滑稽*2Intro 我也忘记了，好像不是王朝的？82 首尔王朝队Synth Ghost 费城融合队Wolves 广州冲锋队Fall Apart 华盛顿正义队Song-Valiant_Anthem 洛杉矶英勇队,711,22162,13,17
不容错过的hiphop/rap/trap/os etc(持续更,欧美-华语-说唱,介绍：推荐一些收藏的好歌嘻嘻,761,107115,182,5
『起床』拉窗帘/刷牙/洗脸/喝水/换衣服,清晨-快乐-欧美,介绍：这里收集一些节奏轻快的歌，新的一天我们都要从好心情开始哦～,3602,102432,152,20
$$Hiphop,欧美-R&B/Soul-快乐,介绍：快樂就Vans了,8689,444110,401,46
2019年最吊的Hook,说唱-欧美,介绍：律动流淌在血液之中,33271,1476723,55,175
极致走心说唱|NF精选,欧美-说唱,介绍：NF原名叫纳特-福伊尔施泰因（Nate Feuerstein）出生在密歇根的他，童年时就饱受家庭暴力和母亲滥毒的折磨。但很庆幸他没有堕落，否则世上就少了一个天才说唱歌手。那一切关于生活的困惑和愤怒，都被他早早写进了歌里。那个时候，一个录歌的麦加上一台键盘，可能就是支撑他灵魂的全部。听他的人喜欢拿他跟姆爷去比较，因为二者的歌都极度的情绪化。但凡这样的说唱歌手，肯定都经历过非凡苦难，写下的歌词映照出他们自己的内心。通过他的歌词你可以看见最真实的生活。NF的歌词里其实大道理有很多，但这些都是以小见大的东西，通过这些你实际可以看出NF做歌也是在对他自我的不断探寻。NF的每一首歌都很用心并且饱含情感，《Perception》这张专辑更是让我无限循环。这样一位优秀的歌手值得每个人喜欢，希望会有越来越多地人认识他。Time————————————————————————Ps :此歌单更适合随机播放创建日期：2019/06/16,7726,230267,54,160
「姆爷好听的单曲TOP100」,欧美-说唱,介绍：收录了一些热门姆爷经典的说唱作品，其中也不乏有一些较为冷门的单曲，希望可以让更多人听到，所以也收录在了此歌单中，作为一个听了Eminem小十年的老粉，精心的整理了这个歌单，就是为了让更多的和我一样喜欢Shady阿姆的朋友并不再局限于听那几首热门的TOP10，而是聆听姆爷更多的优秀作品。欢迎大家来收藏～peace&love forever！,1082,21763,100,8
tom macdonald,欧美-说唱,介绍：真实的rapper，只唱真实的rap，写真实的歌词。,431,8667,26,5
ZSBeatz｜Rap Instrumental｜说唱伴奏,说唱-欧美,介绍：･ BeatsbyBoizs ･,162,7399,61,2
纪念佛罗里达最硬的黑人,说唱-欧美-治愈,介绍：R.I.PXXXTentacion（1998年1月23日—2018年6月18日）Billie Eilish的一个特别好的朋友本名杰塞·德怀恩·奥弗洛（Jahseh Dw ayne Onfroy），出生于美国佛罗里达州普兰塔寻，美国说唱歌手、词曲作者。2013年，在网上发布个人第一首歌曲《News/Flock》2014年，首次以“XXXTentacion”为艺名发布歌曲《Vice City》，从而开始说唱生涯。2016年，因抢劫和持有致命武器而被指控2017年，个人单曲《Look at Me！》登上美国公告牌百强单曲榜，XXXTentacion因此获得关注，8月，发行首张个人录音室专辑《17》，该专辑入围了第25届公告牌音乐奖最佳R&B专辑奖2018年3月，发行第二张个人录音室专辑《？》，获得公告牌专辑榜冠军2018年6月18日，XXXTentacion在美国迈阿密被枪杀身亡，年仅20岁。年底，第三张录音室专辑《SKINS》发行中文名：杰塞·德怀恩·奥弗洛外文名：Jahseh Dw ayne Onfroy星座：水瓶座身高：168cm别名：XXXTentacion、X、XXX、Triple X出生地：美国佛罗里达州普兰塔寻国籍：美国出生日期：1998年1月23日逝世日期：2018年6月18日,383,5727,27,8
▶ Trap┃旋律 ✕ Emo Rap.(看简介),欧美-说唱-兴奋,介绍：——— 《分层歌单》 ——持续更—【国外旋律&Trap从38开始，前37为国内宝藏】随机听10首。红心没过半请左上角 :)（欢迎投稿）各种风格精选：骚气随性trap | 迷幻上头旋律说唱 | 忧郁emo(cloud) trap |匪帮rap | 硬核说唱 | 影视原声 | 冷门宝藏……,16745,825199,366,128
前奏就让你疯狂/trap/欧美hiphop/精选/,欧美-说唱-兴奋,介绍：优质歌单(持续更新)，推荐我另外一个trap歌单超级炸,14414,741424,495,76
丨欧美丨嘻哈丨饶舌丨,说唱-欧美,介绍：lil skies，lil pump，rich the kid等，会更新,10150,323986,599,146
『Melodic Rap』 | 令人沉醉的旋律说唱 |,欧美-说唱,介绍：本歌单为Melodic Rap爱好者量身定制。Melodic Rap（旋律说唱）作为当下十分火热的说唱形式和说唱发展的未来，以抓耳的旋律以及引人入胜的flow而著称，首首精选，持续更新。（本歌单目前暂时不接受音乐人的推荐，给您带来的不愉快请谅解）,8899,366221,298,148
XXXTENTACION Perents:All Of X Vol.0,欧美-流行-说唱,介绍：第一首为序言，后面三首为x未发布单曲 enjoy 见证一颗星星的成长到陨落 因为x的离开 X的团体Membersonly所创作专辑停在了vol.5 这张我给他取名为vol.0,616,5345,84,4
Vol . 51 「旋 律 说 唱」,华语-欧美-说唱,介绍：Drake，Jucie Wrld，Post Malone…极其多元化的hiphop世界当今似乎都指向了同一风格—Melodic Rap，没有了Gangsta rap的暴躁，没有了Traditional r&b的优雅，Melodic Rap似乎是两者的结合体，尚未拥有准确的定义，Melodic rap更考究的是听者自身聆听时的体验，行云流水的flow以r&b的唱法展现给听众最新颖的听觉感受，继新时代Emo rap，Mumble rap之后，Melodic rap成为了当下最炙手可热的Hiphop Trend.封面来自Gucciby. skinny_yeast_juice,74541,3364057,80,302
本仙女make up/卸妆/敷面膜/洗澡洗脸/ 歌单,欧美-流行,介绍：欢迎大家来到本宇宙无敌美少女战士白雪公主的歌单么么哒,8186,272889,159,130
良医第一季插曲,欧美-治愈-影视原声,介绍：《良医》第一季里面的插曲。部分没版权。,1637,43561,26,17
头一扭 曲一嗨 鬼火当成路虎开,欧美-摇滚-酒吧,无,682,69626,141,3
年度最佳尼哥念经,说唱-欧美,介绍：听就完事了 都是今年比较好听的尼哥念经,1090,14975,68,27
ʀᴏʟʟɪɴɢ丨节奏水枪 × Lit Drum,欧美-电子-说唱,介绍："又炸又飞的 New School Muzik"你可以在这张由若干资深音乐爱好者强烈推荐的精选歌单中找出最对你胃口的节奏与嗓音！此张歌单中不乏连续登上SoundCloud，YouTube等顶级平台榜单前列之作！无需多言，找到你最舒适的位置开始播放吧。Rolling.,26392,1095303,2759,67
2020最好听的歌曲大全《精选热门》,华语-欧美-流行,介绍：动听的音乐就像是飞舞的蝴蝶在空中翩翩起舞，也像是叮咚的泉水在山间流淌，有时候，也像是璀璨的星辰，在夜空用闪烁。,3168,111542,421,304
ASAP Rocky最炸Verse神曲合集,欧美-说唱-快乐,介绍：喜欢Rocky的朋友收藏歌单点个关注B站 & 微信公众号 ：TrapTV,2398,88690,50,15
Hip-Hop旋律说唱，听你诉说这个世界,欧美-说唱-放松,介绍：旋律性的说唱歌曲应该能引起很多共鸣，好听又有态度的音乐，歌词虽然有很多露骨，却以柔情的方式述说自己的态度和经历，甚至是最真实的自己，揭露的是最现实的世界，这也是Hip-Hop最有魅力的地方吧,34773,1467068,48,198
Trap Rap R&B 杂..」%,欧美-说唱,介绍：杂,52272,2003257,233,159
超酷超拽的英文Rap（持更）,说唱-欧美,介绍：西海岸说唱乐在Hip-Hop世界里，这不仅是一个地理的分割。东西海岸说唱的区别在于它们不同的风格和内容。尽管也受 Hip-Hop 前辈如 Grandmaster Flash 和 Afrika Bambatta 的影响，西海岸说唱比起东海岸说唱，进一步从老派说唱游离开去。他们使用更 funky 的独特节奏，支持着流畅的、有旋律的曲调。西海岸说唱手还率先把“黑帮”文化稂莠不分地带入 Hip-Hop 文化的前沿。尽管在说唱乐继续演变的过程中，东西海岸说唱的界限正在慢慢淡化，但仍有一个明显的西海岸体系，包括从精髓的说唱乐队 N.W.A. 到Snoop Dogg和Tupac和 Vallejo，以及加州的E-40 等。南部说唱乐所有的 Hip-Hop 种类中，南部说唱/Hip-Hop 包括的艺人和风格是最宽泛的。从歌词上讲，南部说唱乐人的共同特点是带有浓重的地方口音。然而音乐上，在不同地区的乐队间的区别各不相同。亚特兰大的 Organized Noize Productions的创新器乐，就很大程度地区别于新奥尔良的 Cash Money 和 No Limit 的粗犷的合成跳跃风味。而 Underground Kingz（来自德克萨斯州的休斯顿）和Eightball & MJG（来自田纳西州的孟菲斯）这些乐队则以慷慨深情的、用吉他点缀的动感，进一步扩展了此风格的范围。流行说唱乐流行说唱/Hip-Hop 是适合电台广播的说唱，主要特点是吸引人的旋律与节奏、干净利落的制作，以及噱头的推广，这种风格也称“干净说唱”。艺术家包括Will Smith，MC Hammer 和 Young M.C 等，尽管常受硬核说唱者嘲弄，但因注意年轻人的市场而不断掀起强力热潮。老派说唱乐老派说唱指的是说唱的初创时期，在 1979-84 期间，当时的节拍更直接，重点在于娱乐，而不是对社会的诠释或讲述堕落的故事。老派说唱的全盛期是由Sugarhill Gang 的劲曲 "Rapper's Delight" 开始的，随后走红的分别是一些其它单曲，而非某一位艺人。U.T.F.O 的 "Roxanne Roxanne"，Whodini 的 "Freaks Come Out At Night" 和 Kurtis Blow的 "Basketball" 在此期间尽享成功,30174,1279627,172,217
燃向RAP｜我知道你很累但不能是放弃的理由,说唱-欧美-感动,介绍：置顶会一直留给Lose Yourself,882,29197,85,10
旋律说唱精选行货［西洋特贡.持更］,欧美-R&B/Soul-说唱,介绍：［持续更新］你如果可以听着这些歌睡觉那我真的服了你了...收录MELODY RAP ，R＆B等new wave风格音乐，新浪潮席卷而来……,1358,270100,208,5
和风&匪帮trap 炸翻你的耳膜,说唱-欧美-电子,介绍：Trap是90年代早期在美国南部形成的一种嘻哈音乐，是一种炫酷、街头、随性的嘻哈音乐，特点在沉重的808鼓，2倍、3倍加速或连续奏出的hi-hats（踩镲），以及用铜管乐器、木管乐器、键盘乐器创造出如电影插曲般的弦乐，营造出一个整体阴暗、诡异、冷酷、迷幻的氛围。,3003,136750,396,36
New/rap/小众/冷门,欧美-说唱-另类/独立,介绍：只收集喜欢的音乐，不论风格持续更新，#Rap/hip-hop#Trap#pop#Alternative Rock#R&B/Melody#Dance/EDM,4238,168771,1601,90
霉霉（VIP专享）,流行-乡村-欧美,介绍：前20是专辑剩下的是云村所有霉霉要VIP才能听的歌每一首都只有一个版本，无重复,833,16349,143,38
韩道英旅行歌单,欧美-学习-旅行,介绍：有个小哥经常背上背包到处旅行，小哥叫韩道英，来自韩国釜山，今年22岁，，，blablablablablabla，，日本小伙的冒险还在继续，下一次他将到达哪里呢，想知道更多精彩内容，关注右上角点下关注，，O(∩_∩)O哈哈~（手动滑稽,7464,147217,65,260
神樂七奈_DD斩首,欧美-日语,介绍：DD斩首 要好好的单推哦这只是一个单推的歌单哦，不是妈的。我也没想到会有这么多人以为是妈的,1008,43355,318,66
